source_file,source_relative_path,duration_seconds,reviewed,review_method,analysis_status,valid_games,records_written,match_id,clip_start_seconds,clip_end_seconds,confidence,reason,notes
match_001.mp4,match_001.mp4,134.532625,True,Full-clip scope review at 4s intervals; active combat at 1 fps; critical transitions at 2 fps (excluded rounds reviewed fully at 1 fps),analysed,1,1,august31_2550_match_001,11,120,high,,
match_002.mp4,match_002.mp4,233.432625,True,Full-clip scope review at 4s intervals; active combat at 1 fps; critical transitions at 2 fps (excluded rounds reviewed fully at 1 fps),analysed,1,1,august31_2550_match_002,15,219,high,,
match_003.mp4,match_003.mp4,87.099625,True,Full-clip scope review at 4s intervals; active combat at 1 fps; critical transitions at 2 fps (excluded rounds reviewed fully at 1 fps),analysed,1,1,august31_2550_match_003,11,72,high,,
match_004.mp4,match_004.mp4,170.033625,True,Full-clip scope review at 4s intervals; active combat at 1 fps; critical transitions at 2 fps (excluded rounds reviewed fully at 1 fps),analysed,1,1,august31_2550_match_004,15,155,high,,
match_005.mp4,match_005.mp4,101.266625,True,Full-clip scope review at 4s intervals; active combat at 1 fps; critical transitions at 2 fps (excluded rounds reviewed fully at 1 fps),analysed,1,1,august31_2550_match_005,15,87,high,,
match_006.mp4,match_006.mp4,149.332625,True,Full-clip scope review at 4s intervals; active combat at 1 fps; critical transitions at 2 fps (excluded rounds reviewed fully at 1 fps),analysed,1,1,august31_2550_match_006,12,136,high,,"Tail includes next arena preparation, not another complete evidentiary game"
match_007.mp4,match_007.mp4,192.100625,True,Full-clip scope review at 4s intervals; active combat at 1 fps; critical transitions at 2 fps (excluded rounds reviewed fully at 1 fps),analysed,1,1,august31_2550_match_007,11,177,high,,Leading fragment of previous ending is not a separate evidentiary game
match_008.mp4,match_008.mp4,161.732625,True,Full-clip scope review at 4s intervals; active combat at 1 fps; critical transitions at 2 fps (excluded rounds reviewed fully at 1 fps),analysed,1,1,august31_2550_match_008,11,147,high,,
match_009.mp4,match_009.mp4,144.232625,True,Full-clip scope review at 4s intervals; active combat at 1 fps; critical transitions at 2 fps (excluded rounds reviewed fully at 1 fps),analysed,1,1,august31_2550_match_009,12,129,high,,
match_010.mp4,match_010.mp4,115.832625,True,Full-clip scope review at 4s intervals; active combat at 1 fps; critical transitions at 2 fps (excluded rounds reviewed fully at 1 fps),analysed,1,1,august31_2550_match_010,15,101,high,,
match_011.mp4,match_011.mp4,157.683625,True,Full-clip scope review at 4s intervals; active combat at 1 fps; critical transitions at 2 fps (excluded rounds reviewed fully at 1 fps),analysed,1,1,august31_2550_match_011,15,143,high,,
