source_file,match_id,status,confidence,clip_start_seconds,clip_end_seconds,reason
match_001.mp4,sep11_2500_match_001,analysed,high,14,105,Initial meaningful purpose of the brief Feral pressure is unknown.
match_002.mp4,sep11_2500_match_002,analysed,high,14,94,Initial purpose of Warrior pressure is not established; Warrior death versus departure at final ending unknown.
match_003.mp4,sep11_2500_match_003,analysed,high,9,149,Exact Hunter defensive names and why initial Rogue engagement was delayed are unknown.
match_004.mp4,sep11_2500_match_004,analysed,high,14,106,Exact opening resource-extraction intent unknown. Initial0-2s repeats match003 ending; not a new game. Final Mage departure versus kill unknown.
match_005.mp4,sep11_2500_match_005,analysed,high,12,58,Initial resource-extraction intent unknown. Final Paladin departure versus kill unknown. Next-game preparation ~70-81s belongs to match006.; Final Paladin icon changes before Warrior death; control through the exact death is not established.
match_006.mp4,sep11_2500_match_006,analysed,high,12,96,Initial intent unknown. Initial0-3s overlaps match005 ending. Late Priest control attempts are not confirmed applied. Enemy Rogue restealth ability unknown. Priest death not shown.
match_007.mp4,sep11_2500_match_007,analysed,high,14,104,"Initial intent unknown. Priest selection includes control and health loss, but intended lethal swap unknown. Initial scoreboard repeats match006; next-game preparation ~114-129s belongs match008. Final Priest departure versus kill unknown."
match_008.mp4,sep11_2500_match_008,analysed,high,14,130,Initial intent unknown. Exact temporary Hunter defensive ability unknown. Temporary DEAD displays are not player deaths. Initial0-3s overlaps match007 ending. Final Paladin departure versus kill unknown.
match_009.mp4,sep11_2500_match_009,analysed,high,12,111,Initial objective and exact Priest defensive ability unknown. Mage departure versus kill not shown; winner display alone is not treated as Mage death.
match_010.mp4,sep11_2500_match_010,analysed,high,12,267,Initial intent and exact Paladin defensive names unknown. Final Warrior departure versus kill unknown. Paladin frame100% at round closure does not negate sustained DEAD/corpse evidence.
match_011.mp4,,excluded_non_evidentiary_2v2,,10,18,"Aborted/unopposed arena: join at~11s, immediate Gold Team result~16s, no opponents or meaningful combat established. Full clip inspected at1-second cadence."
match_012.mp4,,excluded_non_evidentiary_2v2,,103,123,Separate arena admission (Replay ID 38621084) ends with Green Team winning before visible opponents or meaningful combat. Chat plans are not executed evidence.
match_012.mp4,sep11_2500_match_012a,analysed,high,13,96,No combat log or audio; exact intended opener is unknown; Warlock departure after Shaman death is not established
match_013.mp4,sep11_2500_match_013,analysed,high,14,107,Exact Paladin disruption effects earlier in the fight are not established; macro calls alone are not successful CC evidence; Paladin departure after Warrior death is unknown
match_014.mp4,,excluded_non_evidentiary_2v2,,13,19,Arena admission (Replay ID 38621143) ends with Gold Team winning around 17 seconds while friendly players remain behind the preparation gate; no opponents or meaningful combat. Full clip reviewed at one-second intervals.
match_015.mp4,sep11_2500_match_015,analysed,high,12,98,Exact later Hunter control effect and final off-target control are unconfirmed; Paladin departure after Hunter death is unknown
match_016.mp4,sep11_2500_match_016,analysed,high,14,110,Opening player target distinguished from earlier pet interaction; no confirmed pet kill.; Exact names of every stun and the Warlock's departure are not established. Initial intent is unknown.
match_017.mp4,sep11_2500_match_017,analysed,high,14,122,Exact pet death frame is not shown as a DEAD label; declining pet health and subsequent revive cast support removal.; Priest WOTF display must not be reported as a confirmed PvP trinket use. Other friendly defensive cooldown names and exact spend times are not reliably established.; Initial intent and precise contribution of each enemy damage ability are unknown.
match_018.mp4,sep11_2500_match_018,analysed,high,14,125,"Exact opening damage before substantial Priest health loss is obscured by absorbs; initial objective is unknown.; Two Vanish spends are supported by cooldown cycles and chat; exact break timing, causes and reset ability used between them are not established.; Other friendly defensive cooldown use is not fully established."
match_019.mp4,sep11_2500_match_019,analysed,high,14,199,"Initial strategic intent is unknown; early Priest/Hunter discussion does not identify a plan against the actual opponents.; Exact names of every stun, pet death instants and the Shaman's final departure are not established."
match_020.mp4,sep11_2500_match_020,analysed,high,14,104,Initial purpose behind the Priest-pressure request is unknown. Several intermediate control/defensive icons cannot be named confidently. Priest departure after the Hunter kill is not shown.
match_021.mp4,sep11_2500_match_021,analysed,high,12,130,Exact cause of the long absorption phase is not established. Warrior departure after Priest death is not shown.
match_022.mp4,sep11_2500_match_022,analysed,high,12,79,Priest PvP trinket status is not distinguished from the tracked racial cooldown. Exact minor control effects and pet outcome remain unknown.
match_023.mp4,sep11_2500_match_023,analysed,high,14,111,"Large overlapping visual effects obscure fine positioning in the lethal window; target health, stuns, resource state and sustained death remain readable. Friendly Priest survival at the finish is not independently confirmed."
match_024.mp4,sep11_2500_match_024,analysed,high,12,103,Priest PvP trinket state not established; Will of the Forsaken is not treated as PvP trinket.; Exact Hunter immunity spell and early damage attribution unresolved.
match_025.mp4,sep11_2500_match_025,analysed,high,14,140,Exact Paladin defensive spell names and initial strategic intent unresolved.; Postgame chat reports being hit through a wall; footage alone does not establish that claim or its cause.
match_026.mp4,sep11_2500_match_026,analysed,high,14,123,Priest PvP trinket state and some minor control spell names unresolved.
match_027.mp4,sep11_2500_match_027,analysed,high,12,137,Individual damage attribution and exact defensive spells not fully established.
match_028.mp4,sep11_2500_match_028,analysed,high,12,138,Opening intent unknown; Blind attempts are not treated as successful CC. Friendly defensive expenditure is not reliably readable.
match_029.mp4,sep11_2500_match_029,analysed,high,12,99,Priest PvP trinket availability unknown; displayed cooldown is WOTF. Exact short final Hunter control spell uncertain.
match_030.mp4,sep11_2500_match_030,analysed,high,12,109,Initial intent unknown. Early Blind attempts at 80s are not counted as applied CC.
match_031.mp4,sep11_2500_match_031,analysed,high,12,76,Priest PvP trinket availability unknown; WOTF is distinguished from it. Exact final Priest control label uncertain.
match_032.mp4,sep11_2500_match_032,analysed,high,12,107,Exact intermediate Priest control spell before the final Fear is uncertain; no resource-forcing prerequisite inferred
match_033.mp4,sep11_2500_match_033,analysed,high,12,96,Hunter's blue approximately five-second effect at 89s is not classified as crowd control; exact defensive spell is uncertain
match_034.mp4,sep11_2500_match_034,analysed,high,14,110,Final surviving Priest death or departure is not explicitly visible before the winner display; enemy victory and first friendly death are confirmed; Do not treat the post-round full-health display as a revival
match_035.mp4,sep11_2500_match_035,analysed,high,12,106,Priest control expiry and Hunter death occur near the same sampled instant; exact sub-frame ordering unknown; Repeated Gouge macro lines alone are not proof of successful Gouge
match_036.mp4,sep11_2500_match_036,analysed,high,14,114,Exact Priest defensive effect during the health plateau about 99â€“105s is not established; no named defensive is asserted.
match_037.mp4,sep11_2500_match_037,analysed,high,10,140,"Final Priest death is inferred from his 3% health, ongoing damage and immediate friendly victory; the victory alone is not treated as an explicit death marker.; Opening Blind attempt on Priest is not confirmed as landed."
match_038.mp4,sep11_2500_match_038,analysed,high,14,109,An intermediate Warrior timer about 92â€“99s is not confidently identified as crowd control; no named CC is asserted from that icon.
match_039.mp4,sep11_2500_match_039,analysed,high,12,109,"Priest health plateaus near 13% about 101â€“105s; the exact defensive contribution is unknown.; Blind macros before the confirmed Priest Blind are treated as attempts, not confirmed additional landed Blinds."
match_040.mp4,sep11_2500_match_040,analysed,high,14,85,No named enemy Rogue defensive is asserted from unlabelled buff icons.; Priest is not recorded as controlled continuously through the first kill.
match_041.mp4,sep11_2500_match_041,analysed,high,12,119,Minor defensive and damage abilities are not individually reconstructed; timing is approximate.
match_042.mp4,,excluded_non_evidentiary_2v2,,10,90,Abnormal short round (Replay 38622380): both opponents leave the team count around 89–90s while still showing health; winner scoreboard has zero killing blows for all players. Brief Sap/trinket/Blind exchanges and limited damage do not establish a normal completed 2v2 conversion. Excluded from strategic corpus and statistics; exact departure/termination cause unknown.
match_042.mp4,sep11_2500_match_042b,analysed,high,98,215,Exact midfight Paladin control types and several defensive timers are unresolved; no continuous healer control is claimed at the Warrior death.
